"CAC-L","CMF-L","CCM-L","CNU-L","ETL-L","FPL-L","FSF-L","IPL-L","ITL-L","ISL-L","IMC-L","LOL-L","LOF-L","LGL-L","MOF-L","MTL-L","PHL-L","PCL-L","PPS-L","POS-L","PTS-L","PCR-L","PTC-L","PCC-L","PRC-L","PCN-L","RAC-L","RMF-L","SFL-L","SPL-L","STL-L","SML-L","TPP-L","TTL-L","CAC-R","CMF-R","CCM-R","CNU-R","ETL-R","FPL-R","FSF-R","IPL-R","ITL-R","ISL-R","IMC-R","LOL-R","LOF-R","LGL-R","MOF-R","MTL-R","PHL-R","PCL-R","PPS-R","POS-R","PTS-R","PCR-R","PTC-R","PCC-R","PRC-R","PCN-R","RAC-R","RMF-R","SFL-R","SPL-R","STL-R","SML-R","TPP-R","TTL-R"
669.48,706.36,568.48,638.11,310.08,505.25,449.95,729.13,423.24,602.93,435.92,699.75,553.48,470.58,494.53,543.64,509.15,374.05,708.44,836.24,771.88,627.47,554.61,485.66,602.98,597.9,738.27,959.05,888.03,737.3,606.76,643.05,341.25,585.81,728.53,671.7,688.61,621.33,325.52,559.67,398.17,698.61,443.04,616.98,427.39,600.27,577.52,431.89,555.84,598.85,483.1,371.02,722.42,868.67,869.64,591.06,573.88,478.52,614.11,553.92,807.08,902.15,858.46,685.89,668.94,631.83,444.88,615.2
669.25,699.33,566.82,635.89,315.2,506.1,449.08,722.56,422.8,604.93,434.85,695.09,555.63,468.91,491.44,541.35,507.92,377.4,706.1,833.97,767.93,624.65,550.13,482.18,597.82,593.68,733.53,952.67,878.07,730.99,607.21,638.4,350.81,583.97,722.98,662.43,658.21,616.25,332.18,558.83,397.73,692,442.15,616.35,423.6,597.49,577.27,430.12,553.9,596.39,480.72,371.02,719.97,869.3,864.69,588.62,569.76,474.87,607.62,549.81,804.08,893.87,848.15,678.39,667.12,626.85,437.78,614.69
669.84,697.17,569.81,634.74,311.28,503.8,447.7,721.59,421.51,601.9,433.65,693.65,550.92,467.83,490.1,539.77,505.71,374.95,704.48,830.39,770.1,622.97,549.31,483.76,596.79,592.9,733.48,948.09,874.52,728.77,603.23,637.38,344.8,584.69,722.96,661.06,661.74,616.55,321.72,558.61,396.75,692.11,441.83,614.87,424.2,595.64,575.06,430.13,551.12,594.54,478.24,369.03,718.38,863.36,861.87,587.46,568.3,475.75,606.36,550.78,803.54,887.92,843.96,676.78,663.61,626.85,434.66,613.06
668.65,696.36,574.73,635.23,308.56,506.09,447.69,717.96,420.65,601.66,433.57,692.09,552.52,466.64,489.86,538.57,506.48,374.25,703.92,828.98,767.43,623.2,549.94,480.92,596.25,591.9,731.37,946.17,873.67,726.98,602.58,636.66,349.19,581.66,720.29,658.61,686.99,613.99,332.02,557.53,397.28,689.3,440.93,615.78,423.97,594.44,574.53,428.4,551.25,593.77,479.54,369.84,718.73,867.78,862.28,587.2,568.1,473.72,605.21,549.37,801.15,887.88,842.55,675.75,664.12,626.09,439.25,608.31
669.88,696.87,587.36,634.73,310.13,505.36,448.46,720.17,419.96,602.71,432.43,694.11,552.04,467.82,489.33,539.2,505.69,378.06,705.46,830.26,771.25,622.95,550.51,482.71,596.38,592.55,734.85,946.58,875.93,727.05,604.09,637.77,345.71,584.12,723.4,660.01,675.8,615.72,326.14,557.61,397.04,690.93,441.7,615.05,423.5,596.35,573.96,429.32,550.03,595.89,478.55,370.59,715.63,870.57,861.38,588.43,569.38,474.96,605.38,550.11,805.01,887.82,844.35,676.17,664.65,626.68,436.96,611.41
670.25,698.01,575.47,633.95,306.9,506.61,445.86,718.15,419.27,600.53,434.15,690.7,551.7,466.24,488.87,538.4,504.91,372.71,704.84,830.72,769.15,622.35,550.78,481.1,596.21,591.71,733.58,945.7,875.83,726.07,600.51,636.16,342.17,577.39,719.22,661.59,677.31,612.48,331.51,560.78,397.39,690.14,440.44,613.42,424.84,594.09,573.87,427.83,551.79,594.68,478.56,367.84,714.53,868.39,858.41,586.17,570.29,473.92,605.63,549.3,800.69,886.05,844.23,674.95,663.08,625.43,430.2,605.68
669.31,696.43,566.06,633.68,310.37,507.04,447.76,717.75,418.28,602.49,432.61,693.05,551.71,467.39,489.81,537.95,505.17,374.67,704.94,829.98,773.35,623.21,549.99,481.31,595.65,590.19,732.2,945.31,874.93,724.35,602.55,634.62,344.28,586.38,719.9,660.19,675.46,614.6,327.89,561.83,396.81,690.32,439.99,615.29,423.66,594.19,573.82,428.46,551.4,595,477.66,368.64,716.21,865.99,860.7,588.13,569.83,473.83,605.08,549.1,807.12,884.56,843.97,674.11,663.36,624.82,430.35,614.16
668.49,698.58,570.69,634.03,306.39,509.09,445.64,718.04,418.78,599.96,433.53,691.19,550.03,466.28,488.36,536.41,505.02,372.26,703.61,829.07,769.93,621.52,551.61,482.4,596.99,591.31,732.84,945.96,876.62,725.12,598.91,635.12,336.85,579.17,720.03,662.36,693.31,613.07,323.13,558.47,396.84,691.48,439.91,611.71,425.52,594.45,572.04,427.36,548.73,594.68,478.17,369.26,716.35,869.19,860.66,585.62,572.1,474.71,605.92,548.81,803.4,886.45,845.7,675.43,661.45,625.82,428.05,605.65
669.87,697.14,580.82,633.42,309.84,506.79,447.12,717.7,419.11,602.1,432.53,690.95,550.72,466.68,489.32,537.88,505.7,375.33,702.77,828.77,769.18,622.8,550.27,480.51,595.66,590.54,733.62,945.48,875.78,724.38,601.34,633.29,340.55,584.72,718.43,660.07,685.79,612.37,331.52,563.71,396.96,690.41,439.77,614.57,423.18,592.84,573.48,426.88,550.77,593.38,477.58,369.24,714.43,870.32,860.9,585,570.09,473.17,605.12,548.37,803,885.44,844.84,674.49,662.61,625.24,428.7,610.69
670.72,700.75,577.02,634.89,305.88,510.01,447.59,720.53,419.32,601.14,434.49,693.58,550.89,467.73,490.9,537.46,505.36,374.23,702.92,827.2,767.38,623.06,552.46,483.63,597.39,592.56,733.17,948.78,878.78,726.5,600.33,635.02,334.37,581.47,723.13,663.66,705.78,615.05,318.97,560.67,397.06,691.74,440.45,615.22,425.13,596.7,572.76,427.88,549.47,594.34,478.43,369.2,716.61,868.84,860.37,586.99,572.5,475.94,606.59,549.67,802.87,888.14,847.61,676.58,663.03,626.68,428.18,612.18
