"CAC-L","CMF-L","CCM-L","CNU-L","ETL-L","FPL-L","FSF-L","IPL-L","ITL-L","ISL-L","IMC-L","LOL-L","LOF-L","LGL-L","MOF-L","MTL-L","PHL-L","PCL-L","PPS-L","POS-L","PTS-L","PCR-L","PTC-L","PCC-L","PRC-L","PCN-L","RAC-L","RMF-L","SFL-L","SPL-L","STL-L","SML-L","TPP-L","TTL-L","CAC-R","CMF-R","CCM-R","CNU-R","ETL-R","FPL-R","FSF-R","IPL-R","ITL-R","ISL-R","IMC-R","LOL-R","LOF-R","LGL-R","MOF-R","MTL-R","PHL-R","PCL-R","PPS-R","POS-R","PTS-R","PCR-R","PTC-R","PCC-R","PRC-R","PCN-R","RAC-R","RMF-R","SFL-R","SPL-R","STL-R","SML-R","TPP-R","TTL-R"
218,0,0,2,0,0,0,0,0,0,97,0,0,0,0,0,1,0,0,0,0,0,0,250,0,176,51,0,580,0,1,0,0,0,102,0,0,16,0,0,1,0,0,0,18,0,0,13,0,0,0,0,0,0,0,0,0,221,0,331,1,0,38,0,0,0,0,0
0,2639,0,1,0,0,2,759,82,63,0,3,9,0,1,235,0,0,1198,3,158,0,351,0,3680,11,0,1246,1829,107,186,64,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,8,0,0,0,0,0
0,0,0,0,0,0,18,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,37,0,0,2,1,0,50,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,1,0,435,36,7,66,46,12,5,128,746,10,737,3,1,0,66,0,14,8,584,1,4,2,1177,0,134,15,282,29,0,93,0,1,0,0,871,0,3,56,0,27,0,7,510,0,302,3,54,0,11,0,4,0,353,1,0,0,66,0,16,10,300,0,0,38,0
0,0,0,36,615,0,1854,8,91,5,15,177,148,180,3,12,0,764,0,74,2,19,0,0,0,56,1,3,0,134,24,0,320,0,0,0,0,0,0,0,2,0,0,0,8,2,0,5,3,1,0,0,0,0,0,9,0,0,0,12,3,0,1,5,0,0,1,0
0,0,0,7,0,70,3,5,2,6,0,26,30,5,222,0,6,1,0,14,6,0,2,0,1,10,4,448,39,123,47,0,11,0,0,0,0,0,1,171,5,1,3,0,0,1,0,0,48,1,0,2,0,0,0,0,5,0,0,17,9,44,14,6,0,0,2,0
0,2,18,66,1854,3,2987,302,4698,26,20,2516,21,1863,16,322,0,1203,0,14,35,58,15,0,28,85,0,92,14,649,133,0,538,1,0,0,0,3,1,0,13,0,3,0,4,63,0,38,3,6,3,1,0,0,0,5,7,0,10,15,11,7,39,48,0,0,2,0
0,759,0,46,8,5,302,4490,625,804,0,2109,58,19,65,2067,0,1,637,8,395,6,714,0,1699,592,12,70,86,2898,1121,1658,24,48,0,0,0,5,0,0,1,5,0,0,0,108,0,15,10,0,0,2,0,0,0,8,0,0,0,38,7,6,10,16,0,0,0,0
0,82,0,12,91,2,4698,625,5282,50,0,1784,18,66,8,3862,0,19,5,6,31,4,14,0,395,0,0,25,1,1068,100,7,304,18,0,0,0,3,0,0,1,0,0,0,0,49,0,11,0,0,0,2,0,0,0,1,0,0,0,1,0,0,4,10,0,0,0,0
0,63,0,5,5,6,26,804,50,1833,0,51,703,2,33,31,0,7,603,81,191,3,514,0,657,1,2,78,183,1062,923,131,43,378,0,0,0,14,0,0,5,0,1,0,0,1,0,4,3,0,0,0,0,0,0,3,0,0,0,2,0,0,0,18,0,0,0,0
97,0,0,128,15,0,20,0,0,0,548,8,0,347,2,0,16,40,0,0,0,69,2,342,9,1118,3,3,73,38,0,0,12,0,16,0,0,156,0,0,24,4,0,0,279,25,0,113,0,0,0,20,0,0,0,25,8,95,0,349,7,0,15,11,1,0,2,0
0,3,1,746,177,26,2516,2109,1784,51,8,7478,58,1283,44,391,0,205,8,70,132,120,65,0,128,24,9,459,21,1043,257,3,197,0,0,0,0,37,16,3,36,2,22,0,3,842,2,221,4,22,0,151,0,3,0,158,0,0,0,34,3,39,63,88,0,0,9,0
0,9,0,10,148,30,21,58,18,703,0,58,2444,9,1124,6,0,7,27,1082,182,0,48,0,7,8,24,561,18,202,1435,2,343,1,0,0,0,1,0,0,15,1,9,0,0,2,0,2,136,1,1,2,0,0,0,0,0,0,0,7,3,0,7,1,0,0,6,0
