"time","intercept","intercept_se","sigma2","lambda","lambda_se","lambda_p_value","significance_code"
2,0.530672151430461,0.166610130698551,1.5549067153651,0.0389135149066827,0.0714501223523052,0.607826540246216," "
4,-0.143001932549186,0.226086094203806,1.78881363010576,0.107156109660053,0.0253681145146119,0.0306781853538062,"*"
6,-0.62418354820969,0.195808664329324,1.28762656983301,0.111741841861214,0.0205679223537905,0.0262990754495201,"*"
8,-0.622601783661198,0.198384405419108,1.22623036895006,0.119619810050425,0.0091239086400642,0.00188064283112799,"**"
10,-0.410110098971826,0.195685919465441,1.19640851057687,0.119339131504782,0.00952130530394942,0.00195359667516826,"**"
12,-0.932262146403331,0.165562252730482,0.867269330637873,0.118053163901681,0.0115465569601487,0.00644199285632563,"**"
14,-0.655106772809173,0.17950780561543,0.979205335005655,0.122115752360679,0.00538657092529033,9.75479521323486e-05,"***"
16,-0.98022895000328,0.131734688862175,0.533202545453663,0.121022722130714,0.00709006484185647,0.00157674788089412,"**"
18,-0.768386695086341,0.165286398894997,0.825565803476112,0.122666178314727,0.004573622512161,3.86176036298869e-05,"***"
20,-0.667137211131539,0.135848992241406,0.570317910975948,0.120443990378691,0.00790651162676529,0.00117515623255027,"**"
22,-0.68861943923224,0.142531074486882,0.617500514434241,0.122090506960112,0.00543102355149711,0.000128298204124966,"***"
24,-0.362981454447877,0.128080082088154,0.495291449174765,0.122751948227219,0.00444066719653838,2.27076105456803e-05,"***"
26,-1.26607246965438,0.10914824583917,0.404754247409375,0.110471178335069,0.0224876856692611,0.0355418284363679,"*"
28,-0.625663765368012,0.137079678470714,0.568442306600038,0.122561574497183,0.00472711080574423,4.47621380758045e-05,"***"
30,-1.34082576086003,0.0910754070525727,0.275079044716415,0.113106782214749,0.0200262695598099,0.07105172260433,"."
32,-0.755386132373344,0.123669146082132,0.467683297933393,0.121495414183938,0.00628176677989967,0.000141246631021441,"***"
34,-0.957231896277644,0.115841579800622,0.412652456464862,0.120939174189857,0.00719785353413881,0.00125766270230609,"**"
36,-1.21703604657768,0.124755997311034,0.520894698393748,0.112117555599971,0.0207513568407607,0.0420676473940005,"*"
38,-1.06882053260861,0.103363163161922,0.328686744214795,0.120894308989843,0.00731699129911606,0.00283379394942673,"**"
40,-1.0457990864877,0.124954461108869,0.494602401639708,0.117929771015292,0.012033263268438,0.0209060765420519,"*"
42,-0.549201180773561,0.104127597425601,0.331921644098817,0.12138682461228,0.00646281001157138,0.000250145200534901,"***"
44,-1.10229218920016,0.0800083741804204,0.379650662387643,0.0282207826262266,0.130943977619924,0.82514009969857," "
46,-0.784105181288954,0.123194725087362,0.49674306440031,0.114512600077317,0.0158675867009163,0.00496537451135215,"**"
48,-1.17789843422575,0.084862198582892,0.227298000632776,0.1183045950505,0.0111688838536924,0.0058136887849487,"**"
50,-0.906036225711932,0.115439088780585,0.417448329346314,0.119073301204579,0.00975053631994492,0.000851710794453453,"***"
52,-1.12853686456071,0.0907405722828686,0.271683146004001,0.113649751556679,0.0176571501434312,0.0141642090082129,"*"
54,-0.861350458579977,0.118666192499599,0.429847724406844,0.121670949789367,0.00605285098014604,0.000224525765456174,"***"
56,-0.740003578447206,0.112314246664884,0.378355625818763,0.123396975743981,0.00350577355396576,2.19050601505399e-05,"***"
58,-0.908058141178252,0.116022905564494,0.409350418199009,0.12204742248929,0.00551935692296364,0.000300381063294552,"***"
60,-0.429801615636305,0.117084238335935,0.40987613956942,0.123704745778811,0.00304526250728258,3.86301285693058e-06,"***"
62,-0.797533339367157,0.122201686483554,0.464893728040474,0.119703098660939,0.00906698553579311,0.00303625543278474,"**"
64,-0.243346651345252,0.116573215621099,0.428887366744922,0.118309634090457,0.0112470166613034,0.00843300829010452,"**"
66,-0.485276560838584,0.0908724313761412,0.313237632912057,0.0976222720283033,0.0404111216959179,0.141998152796553," "
68,0.095414684491578,0.122492279805226,0.486632385894564,0.115478133292062,0.0150977246480227,0.00885868077169161,"**"
70,-0.488298046761213,0.0998618400519248,0.378250025139572,0.0976307223234995,0.0335521107775325,0.0606667742764664,"."
72,0.106797883233854,0.135481910308539,0.599543933990087,0.114729953173818,0.0159679057516757,0.00828459396070624,"**"
74,-0.401063615962336,0.107340030576198,0.492904859029486,0.081883471924844,0.0464031755448623,0.174096320755418," "
76,0.147787422128631,0.127889442829313,0.562466620505983,0.109124613769801,0.0223907827428663,0.0165123470591628,"*"
78,-0.0372732329297289,0.119583906717128,0.503620412060989,0.106436865772818,0.025080682030843,0.0225285155198425,"*"
80,-0.0581489516737374,0.11645052773134,0.49821998869371,0.101493760959637,0.0336097622328402,0.0831702323265021,"."
82,-0.18196191996292,0.100727527014696,0.405377607064515,0.0910575018013789,0.0459059063222512,0.171789354549037," "
84,-0.285313312713538,0.102310202190819,0.499031727437497,0.0659904128305089,0.06518705196458,0.382782098949507," "
86,-0.0155537608921766,0.119390073359965,0.558068072568514,0.0936632781400337,0.0385401886453909,0.099668548228839,"."
88,-0.173352347814945,0.101828677346017,0.486739883747126,0.0683718356008096,0.0553428053742609,0.297543459434523," "
90,0.138082615239471,0.107522403993633,0.475885216764394,0.0871339591071633,0.0454868627229033,0.161486203691283," "
92,-0.302468144845401,0.119841053508908,0.505262002122487,0.106555925348757,0.0246709945114023,0.0198021850552704,"*"
94,-0.0227965837139594,0.0975159208746479,0.442300727733136,0.0697656819658474,0.0556896093494272,0.293946287495807," "
96,-0.212840003954561,0.1206427812837,0.549720484546149,0.0981515377846789,0.0331525590231565,0.0585325629587383,"."
98,-0.222833177228057,0.0953655760725126,0.451490909708707,0.0595977846318469,0.0602919966585528,0.384585916833464," "
100,-0.0436247029195196,0.115358565866079,0.539545498459091,0.0891423164867608,0.040985212549591,0.117797648742043," "
102,-0.173606466390738,0.094243401244367,0.51288263840938,0.0332947165567163,0.0717136005149883,0.657783078767534," "
104,-0.138250284856701,0.110962230827407,0.520357835376205,0.0835643998572865,0.0454242950926013,0.162529185497731," "
106,-0.571097633268591,0.102446855442836,0.444918047766139,0.083143221134833,0.0454761521053821,0.163542538156858," "
108,-0.0820008479588174,0.0903279240628522,0.386268823635535,0.0670717834542293,0.0596683838634338,0.338128058823967," "
